id,name,manufacturer,manufacturerID,type,H,S,A,B,C28,C70,retention,USPtype,phase
231,CAPCELL C18 SG120,Shiseido,14,B,0.98,0.03,0.09,-0.02,0.12,0.19,6.6,L1,C18
232,CAPCELL C18 AQ,Shiseido,14,EP,0.86,-0.04,-0.06,0.01,-0.09,0.4,7,L1,EP
233,CAPCELL C18 ACR,Shiseido,14,B,1.02,0.04,0.07,-0.01,0.03,0.11,8.5,L1,C18
234,CAPCELL PAK C8 DD,Shiseido,14,B,0.83,0.02,-0.15,0.01,-0.11,-0.07,5.4,L7,C8
235,Capcell Pak C18 MGII,Shiseido,14,B,1.01,0.01,0.04,0,0,0,9.9,L1,C18
236,CAPCELL PAK C8 UG120,Shiseido,14,B,0.85,0.03,-0.09,-0.01,-0.04,-0.01,4.3,L7,C8
238,Discovery BIO Wide pore C18,Supelco,24,B,0.83,0.01,-0.25,0.02,0.12,0.11,3.4,L1,C18
239,Discovery BIO Wide pore C5,Supelco,24,B,0.65,-0.01,-0.3,0.02,0.09,0.21,1.1,,C5
240,Discovery BIO Wide pore C8,Supelco,24,B,0.83,0.01,-0.22,0.03,0.2,0.19,2.2,L7,C8
241,Discovery C18,Supelco,24,B,0.98,0.02,-0.12,0,0.17,0.15,4.8,L1,C18
242,Discovery C8,Supelco,24,B,0.83,0.01,-0.23,0.02,0.11,0.14,3.3,L7,C8
243,Discovery CN,Supelco,24,CN,0.39,-0.11,-0.61,0,-0.03,0.51,0.6,L10,CN
244,Discovery Amide C16,Supelco,24,EP,0.72,0.01,-0.62,0.21,-0.09,-0.02,4,L60,EP
245,Discovery HS PEG,Supelco,24,EP,0.31,0.02,-0.71,0.12,-0.53,0.38,0.7,,EP
246,Supelcosil LC-18,Supelco,24,A,1.01,-0.04,0.18,0.16,1.59,1.75,5.9,L1,C18
247,Supelcosil LC-18-DB,Supelco,24,A,0.97,-0.02,0.04,0.11,0.48,0.53,5.7,L1,C18
248,Supelcosil LC-8,Supelco,24,A,0.83,-0.04,-0.02,0.08,1.11,1.09,3.6,L7,C8
249,Supelcosil LC-8-DB,Supelco,24,A,0.81,-0.03,-0.07,0.14,0.44,0.55,3.4,L7,C8
250,Supelcosil LC-PAH,Supelco,24,A,0.85,-0.02,0.1,-0.03,0.64,0.83,4.4,L1,C18
252,Thermo CN,Thermo/Hypersil,51,CN,0.4,-0.11,-0.7,0,-0.02,0.49,0.8,L10,CN
253,Hypersil 100 C18,Thermo/Hypersil,51,A,1.04,0.02,0.11,0.03,0.4,0.34,7.9,L1,C18
254,Hypersil BDS C18,Thermo/Hypersil,51,A,0.99,0.01,-0.09,0,0.33,0.28,5.6,L1,C18
255,Hypersil Elite,no longer available,49,A,0.95,0.03,0.15,-0.01,0.31,0.73,6.5,L1,C18
256,Hypersil ODS,Thermo/Hypersil,51,A,0.97,-0.02,-0.12,0.02,0.91,0.97,5.5,L1,C18
257,Hypersil ODS-2,Thermo/Hypersil,51,B,0.98,0.01,0.13,-0.01,0.25,0.37,5.6,L1,C18
258,Hypersil PAH,Thermo/Hypersil,51,A,0.94,-0.05,0.23,-0.01,1.43,1.72,5.3,L1,C18
259,Hypersil Beta Basic-18,Thermo/Hypersil,51,B,0.99,0.03,-0.09,0,0.16,0.12,6.4,L1,C18
260,Hypersil Beta Basic-8,Thermo/Hypersil,51,B,0.83,0.01,-0.24,0.02,0.11,0.11,4.2,L7,C8
261,Hypersil Betamax Neutral,Thermo/Hypersil,51,B,1.09,0.03,0.06,-0.03,-0.03,0.01,17,L1,C18
262,BetaBasic CN,Thermo/Hypersil,51,CN,0.42,-0.04,-0.45,0.01,0.01,0.9,0.8,L10,CN
263,BetaMax Acid,Thermo/Hypersil,51,EP,0.63,0.05,-0.59,0.37,-2.06,-0.51,5.8,,EP
264,BetaMax Base,Thermo/Hypersil,51,EP,0.47,-0.06,-0.39,0.01,0.01,1.14,2.2,,EP
265,Hypersil Bio Basic-18,Thermo/Hypersil,51,B,0.97,0.02,-0.1,0,0.25,0.21,3.2,L1,C18
266,Hypersil Bio Basic-8,Thermo/Hypersil,51,B,0.82,0.01,-0.23,0.02,0.23,0.21,1.8,L7,C8
267,Hypersil GOLD,Thermo/Hypersil,51,B,0.88,0,-0.01,0.03,0.16,0.47,3.9,L1,C18
268,Hypurity C18,Thermo/Hypersil,51,B,0.98,0.02,-0.09,0,0.19,0.16,5.6,L1,C18
269,HyPurity C4,Thermo/Hypersil,51,B,0.71,0,-0.29,0.02,0.12,0.25,1.9,L26,C4
270,Hypurity C8,Thermo/Hypersil,51,B,0.83,0.01,-0.2,0.03,0.15,0.16,3.5,L7,C8
271,Hypurity Cyano,Thermo/Hypersil,51,CN,0.45,-0.04,-0.49,0.02,-0.01,0.83,0.7,L10,CN
272,Hypersil Prism C18 RP,Thermo/Hypersil,51,EP,0.64,0.08,-0.45,0.3,-2.81,-0.71,4.8,,EP
273,Hypersil Prism C18 RPN,Thermo/Hypersil,51,EP,0.67,0,-0.06,0.23,-0.54,0.62,3.4,,EP
274,Hypurity Advance,Thermo/Hypersil,51,EP,0.41,-0.05,-0.09,0.24,-1.33,0.78,1.6,L60,EP
275,Fluophase PFP,Thermo/Hypersil,51,F,0.67,-0.12,-0.31,0.06,0.81,1.37,4.5,L43,F
276,Fluophase RP,Thermo/Hypersil,51,F,0.69,0.02,0.1,0.03,1.03,1.41,3.4,L43,F
277,BetaBasic Phenyl,Thermo/Hypersil,51,phenyl,0.58,-0.15,-0.41,0.04,0.1,0.75,1.7,L11,Phenyl
278,Betasil Phenyl-Hexyl,Thermo/Hypersil,51,phenyl,0.7,-0.05,-0.29,0.02,0.05,0.35,4.3,L11,Phenyl
279,OmniSpher 5 C18,Agilent Technologies/Varian,33,B,1.05,0.05,-0.03,-0.02,0.12,0.05,10.9,L1,C18
280,Polaris C18-A,Agilent Technologies/Varian,33,EP,0.92,0,-0.22,0.06,0.14,0.16,5.2,L1,EP
281,Polaris C8-A,Agilent Technologies/Varian,33,EP,0.6,0,-0.6,0.1,-0.07,0.2,2.2,L7,EP
282,Pursuit C18,Agilent Technologies/Varian,33,B,1,0,-0.16,0.01,0.24,0.22,6.2,L1,C18
283,MicroBondapak C18,Waters,17,A,0.79,-0.07,-0.03,0.01,0.28,0.85,4.6,L1,C18
284,Nova-Pak C18,Waters,17,A,1.04,0,0.09,-0.02,0.54,0.56,6.5,L1,C18
285,Nova-Pak C8,Waters,17,A,0.89,-0.02,-0.09,0,0.61,0.62,3.9,L7,C8
286,Resolve C18,Waters,17,A,0.96,-0.12,0.33,-0.04,1.92,2.14,7.9,L1,C18
287,Spherisorb C8,Waters,17,A,0.76,-0.09,-0.03,0.05,0.73,1.14,4.9,L7,C8
288,Spherisorb ODS-1,Waters,17,A,0.68,-0.18,0.32,0.01,0.84,1.29,4.6,L1,C18
289,Spherisorb ODS-2,Waters,17,A,0.96,-0.07,0.07,0.03,0.9,1.26,8.3,L1,C18
290,Spherisorb S5 ODSB,Waters,17,B,0.97,0.02,0.24,0.38,-0.64,1.68,6.9,L1,C18
291,Atlantis dC18,Waters,17,B,0.91,-0.03,-0.19,0,0.03,0.08,8.1,L1,C18
292,DeltaPak C18 100A,Waters,17,B,1.02,0.01,-0.01,-0.01,-0.05,0.02,9,L1,C18
293,DeltaPak C18 300A,Waters,17,B,0.95,-0.01,-0.1,0.01,0.23,0.28,3,L1,C18
294,J'Sphere H80,YMC,18,B,1.13,0.05,-0.02,-0.06,-0.24,-0.16,13.3,L1,C18
295,J'Sphere L80,YMC,18,B,0.76,-0.03,-0.21,0,-0.4,0.34,5.8,L1,C18
296,J'Sphere M80,YMC,18,B,0.92,-0.02,-0.12,0,-0.29,0.13,9.1,L1,C18
297,Sunfire C8,Waters,17,B,0.85,0.03,-0.12,0,-0.27,0,5.8,L7,C8
298,Sunfire C18,Waters,17,B,1.03,0.03,0.04,-0.01,-0.18,-0.09,9.9,L1,C18
299,Symmetry 300 C18,Waters,17,B,0.98,0.03,-0.05,0,0.22,0.2,3.5,L1,C18
300,Symmetry 300 C4,Waters,17,B,0.65,-0.01,-0.42,0.01,0.1,0.18,1.4,L26,C4
301,Symmetry C18,Waters,17,B,1.05,0.06,0.01,-0.02,-0.3,0.12,9.8,L1,C18
302,Symmetry C8,Waters,17,B,0.89,0.04,-0.2,0.02,-0.5,0.28,7,L7,C8
303,XTerra MS C18,Waters,17,B,0.98,0.01,-0.14,-0.01,0.13,0.05,6.3,L1,C18
304,XTerra MS C8,Waters,17,B,0.8,0,-0.29,0,0.05,0,3.7,L7,C8
305,YMC Basic,YMC,18,B,0.82,0,-0.23,0.02,0.07,0.09,3.3,L7,C8
306,YMC Hydrosphere C18,YMC,18,B,0.93,-0.02,-0.12,0,-0.13,0.15,6.8,L1,C18
307,YMC-Pack ODS-AQ,YMC,18,B,0.96,-0.03,-0.13,0,-0.06,0.1,8.6,L1,C18
308,YMC-Pack Pro C18 RS,YMC,18,B,1.11,0.05,-0.06,-0.05,-0.17,-0.22,12.7,L1,C18
309,YMC-Pack Pro C18,YMC,18,B,1.01,0.01,-0.12,0,-0.15,0,8.7,L1,C18
310,YMC-Pack Pro C8,YMC,18,B,0.89,0.01,-0.21,0,-0.32,0.01,6.5,L7,C8
311,Nova-Pak CN HP 60A,Waters,17,CN,0.36,-0.16,0.1,0,0.69,1.17,0.4,L10,CN
312,SymmetryShield C18,Waters,17,EP,0.85,0.02,-0.41,0.09,-0.72,0.13,7.3,,EP
313,SymmetryShield C8,Waters,17,EP,0.73,0,-0.55,0.1,-0.62,0.13,5.7,,EP
314,XTerra C18 RP,Waters,17,EP,0.75,-0.04,-0.48,0.09,-0.17,-0.17,4.3,,EP
315,XTerra C8 RP,Waters,17,EP,0.65,-0.04,-0.6,0.09,-0.18,-0.19,3.1,,EP
316,XTerra Phenyl,Waters,17,phenyl,0.68,-0.07,-0.36,0,0.11,0.02,2.6,L11,Phenyl
317,MicroBondapak Phenyl,Waters,17,phenyl,0.58,-0.15,-0.24,0.02,0.35,0.97,2.1,L11,Phenyl
318,Nova-Pak Phenyl,Waters,17,phenyl,0.7,-0.15,-0.3,0.01,0.76,0.81,2.5,L11,Phenyl
319,ZirChrom-EZ,ZirChrom,31,other,1.04,0.11,-0.99,0,2.08,2.08,1.1,,Other
320,ZirChrom-PBD,ZirChrom,31,other,1.28,0.15,-0.38,-0.07,2.18,2.18,1,L49,Other
321,ZirChrom-PS,ZirChrom,31,other,0.58,-0.23,-0.47,0.06,1.75,1.75,0.3,,Other
322,Cadenza 5CL-C18,Imtakt,47,B,1.01,0,0.09,-0.04,0.14,0.3,9.2,L1,C18
323,Cogent hQ C18,MicroSolv,19,B,0.9,-0.06,0.37,0,0.19,2.18,8.1,L1,C18
324,Cogent Bidentate C18,MicroSolv,19,A,0.95,0.05,-0.13,0,0.78,2.26,5.6,L1,C18
325,Cogent HPS C18,MicroSolv,19,B,1.02,-0.01,-0.07,-0.01,0.1,0.08,10.2,L1,C18
326,Cogent UDC Cholesterol,MicroSolv,19,other,0.62,0.22,0.52,0.06,0.74,1.21,3.4,,Other
327,Atlantis T3,Waters,17,B,0.94,-0.03,-0.18,0,0.02,0.71,8.4,L1,C18
328,Halo C18,Advanced Materials Technology,26,B,1.1,0.04,0,-0.05,0.05,0.04,6.1,L1,C18
329,Halo C8,Advanced Materials Technology,26,B,0.91,0.02,-0.13,0,-0.01,0.18,4.3,L7,C8
330,Acquity UPLC BEH C8,Waters,17,B,0.85,0,0.09,0.05,0.22,0.77,2.7,L7,C8
331,Acquity UPLC BEH Phenyl,Waters,17,phenyl,0.76,-0.07,-0.05,0.06,0.29,0.58,2,L11,Phenyl
332,Acquity UPLC BEH Shield RP-18,Waters,17,EP,0.9,0.01,-0.03,0.13,-0.05,0.41,3.5,,EP
333,Aquasil C18,Thermo/Hypersil,51,EP,0.8,0.11,0.26,0.01,0.23,1.19,7.4,,EP
334,Ascentis C18,Supelco,24,B,1.07,0.05,0.03,-0.04,-0.08,-0.08,10.5,L1,C18
335,Ascentis C8,Supelco,24,B,0.89,0.02,-0.18,0,-0.12,-0.03,8.4,L7,C8
336,Ascentis Express C18,Supelco,24,B,1.13,0.05,0.02,-0.05,0.06,0.1,6.5,L1,C18
337,Ascentis Express C8,Supelco,24,B,0.91,0.01,-0.11,0,0,0.17,4.6,L7,C8
338,Ascentis RP-Amide,Supelco,24,EP,0.84,0.07,-0.49,0.18,-0.78,0.08,8.8,L60,EP
339,Betasil C18,Thermo/Hypersil,51,B,1.05,0.04,-0.1,-0.03,-0.03,-0.04,11.1,L1,C18
340,Cogent Bidentate C8,MicroSolv,19,B,0.68,-0.11,0.36,0,0.19,1.35,3.7,L7,C8
341,BioBasic CN,Thermo/Hypersil,51,CN,0.39,-0.03,-0.82,0,-0.07,0.53,0.4,L10,CN
342,BioBasic Phenyl,Thermo/Hypersil,51,phenyl,0.49,-0.23,-0.67,0.21,0.01,0.39,0.8,L11,Phenyl
343,BioBasic 4,Thermo/Hypersil,51,B,0.69,0,-0.19,0.03,0.18,0.39,1.2,L26,C4
344,GraceSmart RP 18,Grace/Alltech,42,B,0.83,-0.03,0.07,0,0.07,0.74,4,L1,C18
345,Hypersil GOLD aQ,Thermo/Hypersil,51,A,0.91,-0.01,-0.06,-0.01,0.37,0.63,4.1,L1,C18
346,Hypersil GOLD C8,Thermo/Hypersil,51,B,0.82,0.01,-0.15,0.03,0.09,0.21,2.7,L7,C8
347,Hypersil GOLD PFP,Thermo/Hypersil,51,F,0.62,-0.08,-0.11,-0.02,0.37,0.99,1.9,L43,F
348,Sepax Bio-C18,Sepax Technologies,20,B,0.91,-0.02,-0.13,0.01,0.21,0.22,2.6,L1,C18
349,SepaxBio-C4,Sepax Technologies,20,B,0.66,-0.01,-0.29,0.02,0.1,0.22,1.4,L26,C4
350,SepaxBio-C8,Sepax Technologies,20,B,0.77,-0.02,-0.27,0.02,0.16,0.21,1.6,L7,C8
351,SepaxGP-C18,Sepax Technologies,20,B,1.01,0.01,-0.11,-0.01,0.1,0.09,9,L1,C18
352,SepaxGP-C4,Sepax Technologies,20,B,0.69,-0.01,-0.26,0,-0.02,0.2,3.9,L26,C4
353,SepaxGP-Phenyl,Sepax Technologies,20,phenyl,0.57,-0.11,-0.27,0.02,0.05,0.56,2.6,L11,Phenyl
354,SepaxHP-C18,Sepax Technologies,20,B,0.95,-0.02,-0.1,0,0.07,0.22,8.5,L1,C18
355,SepaxHP-Cyano,Sepax Technologies,20,CN,0.42,-0.05,-0.47,0,0,0.75,1.3,L10,CN
356,TSKgel CN-80Ts,Tosoh Bioscience,21,CN,0.37,-0.02,-0.61,0.01,-0.36,0.42,0.9,L10,CN
357,TSKgel Octyl-80Ts,Tosoh Bioscience,21,B,0.81,0,-0.25,0.01,0.08,0.45,4.4,L7,C8
358,TSKgel ODS-100S,Tosoh Bioscience,21,B,1.03,0.06,-0.09,-0.03,0,-0.03,8.1,L1,C18
359,TSKgel ODS-100V,Tosoh Bioscience,21,B,0.9,-0.04,-0.22,0,-0.06,-0.02,9,L1,C18
360,TSKgel ODS-100Z,Tosoh Bioscience,21,B,1.03,0.01,-0.13,-0.03,-0.06,-0.16,11.6,L1,C18
361,TSK-gel ODS-140HTP,Tosoh Bioscience,21,B,1,0.05,-0.25,-0.03,0.13,0.14,2.8,L1,C18
362,TSKgel ODS-80Ts,Tosoh Bioscience,21,B,0.97,-0.01,-0.13,0,0.01,0.29,8.1,L1,C18
363,TSKgel ODS-80Ts QA,Tosoh Bioscience,21,B,0.94,-0.03,-0.11,0,0,0.36,7.8,L1,C18
364,TSKgel Super-Octyl,Tosoh Bioscience,21,B,0.82,0.03,-0.15,0.01,0.12,0.23,2.2,L7,C8
365,TSKgel Super-ODS,Tosoh Bioscience,21,B,0.99,0.03,-0.04,-0.01,0.15,0.23,3.8,L1,C18
366,TSKgel Super-Phenyl,Tosoh Bioscience,21,phenyl,0.58,-0.1,-0.14,0.01,0.08,0.67,1,L11,Phenyl
367,VisionHT C18,Grace/Alltech,42,B,0.78,-0.07,-0.09,0,0.4,0.69,4.6,L1,C18
368,VisionHT C18-P,Grace/Alltech,42,B,0.63,-0.16,0.28,0.03,0.69,1.61,2.7,L1,C18
369,Zorbax Bonus RP,Agilent Technologies,1,EP,0.65,0.1,-1.04,0.37,-2.97,-1.1,4.5,L60,EP
372,ACE 5 C18-HL,ACT,23,B,1.04,0.05,-0.08,-0.03,-0.03,-0.11,10,L1,C18
373,Nucleodur Isis,Macherey Nagel,29,B,1.02,0.05,-0.07,-0.02,-0.01,0.15,8.8,L1,C18
374,Nucleodur Pyramid,Macherey Nagel,29,B,0.95,0,-0.13,-0.01,-0.28,0.21,8,L1,C18
375,Nucleodur Sphinx RP,Macherey Nagel,29,phenyl,0.8,-0.07,-0.27,0,0.02,0.72,5.6,L1,Phenyl
376,Zorbax Eclipse Plus C18,Agilent Technologies,1,B,1.03,0,-0.07,-0.02,0,0.02,7.8,L1,C18
377,Zorbax Eclipse Plus C8,Agilent Technologies,1,B,0.88,0.01,-0.17,0,-0.04,0.05,5.2,L1,C18
378,Epic C18,ES Industries,40,B,0.95,-0.02,-0.2,0,-0.13,-0.04,10.7,L1,C18
379,Epic C8,ES Industries,40,B,0.89,0.02,-0.19,0,-0.1,0.03,8.6,L7,C8
380,Epic C4,ES Industries,40,B,0.77,0.01,-0.31,0,-0.2,0.06,5.9,L26,C4
381,Epic Phenyl Hexyl,ES Industries,40,phenyl,0.67,-0.08,-0.37,0,-0.14,0.3,4.5,L11,phenyl
382,Gemini-NX C18,Phenomenex,11,B,0.96,0.01,-0.2,-0.01,-0.18,-0.13,7.1,L1,C18
383,Luna PFP(2),Phenomenex,11,F,0.75,-0.07,-0.38,-0.05,0.08,0.54,4.9,L43,F
384,Alltima HP CN,Grace/Alltech,42,CN,0.46,-0.01,-0.55,0,-0.18,0.44,0.9,L10,CN
385,SepaxBR-C18,Sepax Technologies,20,B,1.01,0.03,-0.07,-0.01,-0.01,0.06,8.2,L1,C18
386,SepaxGP-C8,Sepax Technologies,20,B,0.84,0,-0.13,0.01,-0.07,0.26,5.6,L7,C8
387,Vision C18 B,Grace/Alltech,42,A,0.68,-0.11,0.35,0.03,0.39,1.41,2.9,L1,C18
388,Vision C18 HL,Grace/Alltech,42,B,0.99,0.05,0.05,-0.01,0.13,0.14,6.3,L1,C18
389,Capcell Pak C18 IF,Shiseido,14,B,0.95,0.02,-0.2,0,-0.2,-0.01,3.8,L1,C18
390,Capcell Pak C18 MG III,Shiseido,14,B,0.95,0,-0.11,-0.01,-0.11,0.04,9.3,L1,C18
391,Grom-Sil 120 ODS-4 HE,Grace/Grom,43,B,0.97,-0.03,-0.08,0.01,-0.03,0.26,6.8,L1,C18
392,ZodiacSil 60-5-C18H,Zodiac Life Sciences,52,B,1.15,0.04,0.06,-0.07,0.1,0.26,12.2,L1,C18
393,ZodiacSil 120-5-C18 ace EPS,Zodiac Life Sciences,52,EP,0.77,0.04,-0.59,0.22,-0.3,0.04,8.3,,EP
394,ZodiacSil 120-5 C18 AQ,Zodiac Life Sciences,52,B,0.97,0,-0.08,0,0.13,0.22,8.1,L1,C18
395,ZodiacSil 120-5-C18 AQ Plus,Zodiac Life Sciences,52,EP,0.94,-0.01,0.21,0.04,-0.13,0.6,9.1,,EP
396,ZodiacSil 120-5-C18H,Zodiac Life Sciences,52,B,1,0,-0.1,0,0.12,0.15,9.7,L1,C18
397,ZodiacSil 120-5-C18SH,Zodiac Life Sciences,52,B,1.03,0.01,-0.1,-0.02,0.11,0.4,8.7,L1,C18
398,ZodiacSil 200-5-C18 ace EPS,Zodiac Life Sciences,52,EP,0.76,0.02,-0.56,0.21,0.02,0.14,4.7,,EP
399,ZodiacSil 200-5-C18H,Zodiac Life Sciences,52,B,0.95,0,-0.12,0.01,0.16,0.21,4.8,L1,C18
400,ZodiacSil 200-5-C18AQ,Zodiac Life Sciences,52,B,0.97,-0.01,-0.05,0,0.12,0.02,6.3,L1,C18
402,ZodiacSil 300-5-C18ace EPS,Zodiac Life Sciences,52,EP,0.76,0.02,-0.57,0.21,-0.05,0.13,2.9,,EP
403,ZodiacSil 300-5-C18H,Zodiac Life Sciences,52,B,0.95,-0.01,-0.09,0.01,0.24,0.24,3.2,L1,C18
404,XBridge C18,Waters,17,B,1,0.02,-0.09,0,0.17,0.13,4.6,L1,C18
405,XBridge Phenyl,Waters,17,phenyl,0.73,-0.07,-0.35,0.03,0.19,0.2,2.4,L11,Phenyl
406,XBridge Shield RP18,Waters,17,EP,0.83,-0.02,-0.37,0.09,-0.12,-0.05,3.7,,EP
407,ACE 5 C18-AR,ACT,23,phenyl,0.88,-0.05,-0.2,-0.01,0.07,0.15,5.7,L1,Phenyl
408,Allure Aqueous C18,Restek,12,B,0.96,-0.1,0.39,-0.04,0,1.38,17,L1,C18
409,Allure Basix,Restek,12,CN,0.43,-0.07,-0.42,0,0.01,0.86,2.4,Other,CN
410,Allure Biphenyl,Restek,12,phenyl,0.71,-0.19,-0.29,0.02,-0.01,0.69,7.2,,Phenyl
411,Allure Organic Acids,Restek,12,B,0.91,-0.12,0.53,-0.02,0.19,1.5,14.5,L1,C18
412,Ascentis Express RP-Amide,Supelco,24,EP,0.84,0.06,-0.41,0.19,-0.47,0.26,5.1,L60,EP
413,Ascentis Phenyl,Supelco,24,phenyl,0.72,-0.1,-0.28,0,0,0.57,4.8,L11,Phenyl
414,Clipeus C18,Higgins Analytical,25,B,1,0,-0.04,-0.01,0.07,0.34,9.5,L1,C18
415,Clipeus C8,Higgins Analytical,25,B,0.82,-0.01,-0.18,0.02,0.09,0.24,4.9,L7,C8
416,Clipeus Cyano,Higgins Analytical,25,CN,0.42,-0.06,-0.42,0.01,0.05,0.78,1.2,L10,CN
417,Clipeus Phenyl,Higgins Analytical,25,phenyl,0.58,-0.11,-0.3,0.03,0.07,0.48,2.5,L11,Phenyl
418,Discovery HS F5,Supelco,24,F,0.67,0.08,-0.28,0,0.91,1.42,4.1,L43,F
419,Gemini C6-Phenyl 110A,Phenomenex,11,phenyl,0.8,0.03,-0.34,0,-0.4,-0.26,4.8,L11,Phenyl
420,Haisil 300 C18,Higgins Analytical,25,A,0.94,0,-0.03,0,0.42,0.68,2.2,L1,C18
421,Haisil HL C18,Higgins Analytical,25,B,1.04,-0.03,-0.07,-0.02,0.04,-0.05,10.4,L1,C18
422,Halo Phenyl-Hexyl,Advanced Materials Technology,26,B,0.78,-0.09,-0.23,0,0.1,0.45,3.5,L11,Phenyl
423,Halo RP-Amide,Advanced Materials Technology,26,B,0.85,0.08,-0.38,0.19,-0.41,0.31,4.6,L60,EP
424,Heavy C18,Higgins Analytical,25,B,1.04,0.03,-0.13,-0.03,-0.08,-0.12,11.5,L1,C18
425,HyperClone BDS C18 130A,Phenomenex,11,B,0.98,0.03,0.01,-0.01,0.19,0.42,5.3,L1,C18
426,HyperClone BDS C8 130A,Phenomenex,11,B,0.84,0,-0.14,0.01,0.23,0.26,3.9,L7,C8
427,HyperClone CN (CPS),Phenomenex,11,CN,0.4,-0.08,-0.55,0,0.92,1.04,0.8,L10,CN
428,HyperClone MOS C8 120A,Phenomenex,11,EP,0.84,-0.05,0.04,0.13,1.14,1.12,3.7,L60,EP
429,HyperClone ODS C18 120A,Phenomenex,11,A,1.03,-0.02,0.06,0.09,1.03,0.96,6.1,L1,C18
430,HyperClone PAH,Phenomenex,11,other,0.98,0,0.18,-0.02,1.16,1.11,4.9,,Other
431,Inertsil ODS-4,GL Sciences,27,B,0.91,-0.02,-0.22,-0.03,-0.02,-0.14,9.1,L1,C18
432,Inertsil ODS-SP,GL Sciences,27,B,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,7.8,L1,C18
433,Kinetex C18 100A,Phenomenex,11,B,0.96,0,-0.13,-0.01,0,0.12,4.9,L1,C18
434,Kinetex PFP 100A,Phenomenex,11,F,0.68,0.08,-0.27,-0.03,0.94,1.53,2.4,L43,F
435,Microsorb 100-5 C8,Agilent Technologies/Varian,33,A,0.87,0.06,0.09,0.19,0.61,0.82,5.4,L7,C8
436,Microsorb 100-5 Phenyl,Agilent Technologies/Varian,33,phenyl,0.71,-0.14,-0.19,0.16,0.6,0.78,3.1,L11,phenyl
437,Microsorb 300-5 C4,Agilent Technologies/Varian,33,B,0.66,-0.02,-0.31,0.03,0.2,0.41,1,L26,C4
438,Microsorb-MV 100 CN,Agilent Technologies/Varian,33,CN,0.35,-0.24,-0.85,-0.02,0.14,0.78,1.3,L10,CN
439,Nucleodur 100-5 C18,Macherey Nagel,29,B,0.97,-0.02,0,-0.03,0.14,0.59,9.7,L1,C18
440,Nucleodur 100-5 C8,Macherey Nagel,29,B,0.77,-0.04,-0.15,0,0.04,0.82,5.4,L1,C18
441,Phalanx C18,Higgins Analytical,25,B,0.95,-0.03,-0.2,0,-0.07,-0.01,10.4,L1,C18
442,Pinnacle DB Aqueous C18,Restek,12,A,0.69,-0.14,0.22,0.03,0.37,1.13,3.5,L1,C18
443,Pinnacle DB Biphenyl,Restek,12,phenyl,0.64,-0.17,-0.34,0.05,0.19,0.51,2.3,L11,Phenyl
444,Pinnacle DB C18,Restek,12,A,1.01,0.02,-0.03,0,0.36,0.28,6.3,L1,C18
445,Pinnacle DB C8,Restek,12,A,0.83,0,-0.19,0.03,0.26,0.23,3.8,L7,C8
446,Pinnacle DB Cyano,Restek,12,CN,0.37,-0.07,-0.38,0,0.22,0.72,0.7,L10,CN
447,Pinnacle DB PFP Propyl,Restek,12,F,0.64,-0.06,-0.25,0.05,0.59,1.1,2.5,L43,F
448,Pinnacle DB Phenyl,Restek,12,phenyl,0.57,-0.12,-0.46,0.04,0.16,0.28,1.7,L11,Phenyl
449,Pinnacle II Biphenyl,Restek,12,phenyl,0.64,-0.19,-0.24,0.05,0.46,0.73,2.9,L11,Phenyl
450,Pinnacle II C18,Restek,12,A,1.03,0.01,-0.03,0,0.44,0.34,8.4,L1,C18
451,Pinnacle II C8,Restek,12,A,0.85,0,-0.11,0.03,0.39,0.43,5.3,L7,C8
452,Pinnacle II Cyano,Restek,12,CN,0.37,-0.08,-0.21,-0.01,0.2,0.78,1.2,L10,CN
453,Pinnacle II PAH,Restek,12,A,0.97,-0.02,0.35,-0.02,0.74,1.18,6.8,L1,C18
454,Pinnacle II Phenyl,Restek,12,phenyl,0.59,-0.13,-0.4,0.06,0.37,0.49,2.3,L11,Phenyl
455,Polaris Amide-C18,Agilent Technologies/Varian,33,EP,0.84,0.11,-0.33,0.34,-1.65,-0.55,4.2,L60,EP
456,Proto 300 C18,Higgins Analytical,25,B,0.96,0.01,-0.13,0,0.22,0.14,2.9,L1,C18
457,Pursuit DP,Agilent Technologies/Varian,33,phenyl,0.57,-0.13,-0.53,0.04,0.15,0.26,1.7,,Phenyl
458,Pursuit PFP,Agilent Technologies/Varian,33,F,0.65,-0.08,-0.25,-0.02,0.05,0.53,2.2,L43,F
459,Pursuit UPS C18,Agilent Technologies/Varian,33,B,1.06,0.06,-0.05,0,-0.07,0.2,4.6,L1,C18
460,Targa C8,Higgins Analytical,25,B,0.82,-0.02,-0.22,0,-0.02,0.17,6,L7,C8
461,TSKgel ODS-120A,Tosoh Bioscience,21,B,0.89,-0.03,0.28,0,0.26,0.96,6.5,L1,C18
462,TSKgel ODS-120T,Tosoh Bioscience,21,B,0.97,0.03,0.11,-0.01,0.19,0.22,6.5,L1,C18
463,TSKgel ODS-80T,Tosoh Bioscience,21,B,0.96,-0.03,0.14,-0.01,0.16,0.58,8.3,L1,C18
464,TSKgel OligoDNA RP,Tosoh Bioscience,21,A,0.86,0.02,0.14,0.01,0.31,0.65,3.3,L1,C18
465,Ultra Aqueous C18,Restek,12,B,0.8,-0.12,0.37,0.01,0.22,1.25,8.1,L1,C18
