id,name,manufacturer,manufacturerID,type,H,S,A,B,C28,C70,retention,USPtype,phase
53,Prosphere 300 C4,Grace/Alltech,42,B,0.68,-0.01,-0.05,0.02,0.31,0.68,1,L26,C4
54,Prosphere 100 C18,Grace/Alltech,42,B,0.88,-0.07,0.3,0.01,0.18,1.51,6.4,L1,C18
55,Advantage 300,Analytical Sales & Services,35,A,0.86,0,0.12,0.02,0.59,1.11,1.7,L1,C18
56,Advantage Armor C18 120A,Analytical Sales & Services,35,B,0.96,-0.01,-0.07,0,0.07,0.26,8.6,L1,C18
57,Armor C18 3um,Analytical Sales & Services,35,B,0.96,-0.01,-0.07,0,0.12,0.29,8.5,L1,C18
58,Ultrasphere Octyl,Hichrom,46,B,0.89,0.01,0,0.08,0.15,0.54,5.7,L7,C8
59,Ultrasphere ODS,Hichrom,46,B,1.08,-0.01,0.17,0.06,0.27,0.38,8.7,L1,C18
60,BAS MF-8954,BioAnalytical Systems,35,A,0.97,-0.06,0.18,0.02,1.08,1.39,6.9,L1,C18
61,EU Reference Column,Bischoff,5,B,1,0,0.26,0,0.17,0.44,9.3,L1,C18
62,ProntoSIL 120 C18 SH,Bischoff,5,B,1.03,0.01,-0.1,-0.02,0.11,0.4,8.7,L1,C18
63,ProntoSIL 120 C8 SH,Bischoff,5,B,0.73,-0.06,-0.08,0.01,0.07,0.52,4.9,L7,C8
64,ProntoSIL 120 C1,Bischoff,5,B,0.41,-0.07,-0.08,0.02,0.04,0.65,1.2,C13,C1 
65,ProntoSIL 120 C18 H,Bischoff,5,B,1,0,-0.1,0,0.12,0.15,9.7,L1,C18
66,ProntoSIL 120 C18-AQ,Bischoff,5,B,0.97,0,-0.08,0,0.13,0.22,8.1,L1,C18
67,ProntoSIL 120-3-C30,Bischoff,5,A,0.91,-0.13,0.57,0,0.5,1.78,6.9,L62,C30
68,ProntoSIL 300 C30 EC,Bischoff,5,B,0.92,-0.04,-0.01,0.01,0.3,0.45,2.8,L62,C30
69,ProntoSIL 200 C18 AQ,Bischoff,5,B,0.97,-0.01,-0.05,0,0.12,0.28,6.3,L1,C18
70,ProntoSIL 200 C8 SH,Bischoff,5,B,0.76,-0.02,-0.19,0.02,0.12,0.23,2.7,L7,C8
71,ProntoSIL 200 C18 H,Bischoff,5,B,0.95,0,-0.12,0.01,0.16,0.21,4.8,L1,C18
72,ProntoSIL 200 C30,Bischoff,5,A,0.9,-0.09,0.34,0,0.3,1.17,4.4,L62,C30
73,ProntoSIL 200 C4,Bischoff,5,B,0.54,-0.06,-0.22,0.03,0.08,0.51,1.3,L26,C4
74,ProntoSIL 300 C8 SH,Bischoff,5,B,0.73,-0.04,-0.13,0.02,0.15,0.4,1.8,L7,C8
75,ProntoSIL 300-5-C18 H,Bischoff,5,B,0.95,-0.01,-0.09,0.01,0.23,0.24,3.2,L1,C18
76,ProntoSIL 300 C30,Bischoff,5,A,0.89,-0.1,0.32,0.03,0.4,1.54,3,L62,C30
77,ProntoSIL 300 C4,Bischoff,5,B,0.47,-0.09,-0.07,0.05,0.11,0.78,0.6,L26,C4
78,ProntoSIL 60 C8 SH,Bischoff,5,B,0.92,-0.01,0.16,-0.01,-0.31,1,8.4,L7,C8
79,ProntoSIL 60 C18 H,Bischoff,5,B,1.15,0.04,0.06,-0.07,0.1,0.26,12.2,L1,C18
80,ProntoSIL 60 C4,Bischoff,5,B,0.68,-0.07,0.1,0,-0.05,1.2,4.1,L26,C4
81,ProntoSIL CN,Bischoff,5,CN,0.37,-0.11,-0.41,-0.02,0.16,0.66,0.9,L10,CN
82,ProntoSIL 120 CN EC,Bischoff,5,CN,0.42,-0.05,-0.32,0.01,0.01,0.76,1.2,L10,CN
83,ProntoSIL 120 C18 ace-EPS,Bischoff,5,EP,0.77,0.04,-0.59,0.22,-0.3,0.04,8.3,,EP
84,ProntoSIL 120 C18 AQplus,Bischoff,5,EP,0.94,-0.01,0.21,0.04,-0.13,0.6,9.1,,EP
85,ProntoSIL 120 C8 ace-EPS,Bischoff,5,EP,0.53,0,-0.85,0.21,-0.28,0.09,3.7,,EP
86,ProntoSIL 200 C18 ace-EPS,Bischoff,5,EP,0.76,0.02,-0.56,0.21,0.02,0.14,4.7,,EP
87,ProntoSIL 300 C18 ace-EPS,Bischoff,5,EP,0.76,0.02,-0.57,0.21,-0.05,0.13,2.9,,EP
88,ProntoSIL 120 Phenyl,Bischoff,5,phenyl,0.56,-0.15,-0.2,0.02,0.17,0.71,2.5,L11,Phenyl
89,ProntoSIL 60 Phenyl,Bischoff,5,phenyl,0.7,-0.19,0,-0.01,0.41,1.51,4.5,L11,Phenyl
90,ProntoSIL HyperSORB 120 ODS,Bischoff,5,A,0.95,-0.06,0.03,-0.02,0.79,1.31,5.2,L1,C18
91,ProntoSIL SpheriBOND 80 ODS1,Bischoff,5,A,0.7,-0.19,0.36,0.01,1.45,2.4,3.8,L1,C18
92,ProntoSIL SpheriBOND 80 ODS2,Bischoff,5,A,1.01,-0.02,0.15,-0.03,0.73,1,7.7,L1,C18
93,Acclaim 120 C18,Dionex,7,B,1.03,0.01,-0.14,-0.02,0.08,0,10.1,L1,C18
94,Acclaim 120 C8,Dionex,7,B,0.85,0,-0.27,0.01,0.08,0.01,6,L7,C8
95,Acclaim300 C18,Dionex,7,B,0.95,-0.01,-0.17,0.01,0.26,0.22,2.9,L1,C18
96,Acclaim Polar Advantage,Dionex,7,EP,0.85,-0.06,-0.11,0.02,-0.27,0.35,6.8,L60,EP
97,Acclaim Organic Acid,Dionex,7,other,0.83,-0.06,-0.38,0,-0.31,0.34,6.7,,Other
98,Acclaim PolarAdvantage II,Dionex,7,EP,0.74,0.01,-0.55,0.21,-0.22,0.67,6.3,L60,EP
99,SynChropak RP8,Eprogen,39,A,0.63,-0.09,0.1,0.02,0.22,0.94,1.2,L7,C8
100,SynChropak RPP,no longer available,49,A,0.74,-0.11,0.23,0.03,0.25,1.28,1.8,L1,C18
101,SynChropak RPP 100,no longer available,49,A,0.91,-0.05,-0.07,0.12,0.22,0.31,5.4,L1,C18
102,Chromegabond WR C18,ES Industries,40,B,0.97,0.02,-0.15,0,0.32,0.28,5.4,L1,C18
103,Chromegabond WR C8,ES Industries,40,B,0.85,0.02,-0.27,0.02,0.2,0.14,3.6,L7,C8
104,Inertsil Ph-3,GL Sciences,27,phenyl,0.52,-0.17,-0.13,0.04,0.12,0.73,2.6,L11,Phenyl
105,Inertsil C8-3,GL Sciences,27,B,0.83,0,-0.26,-0.01,-0.33,-0.36,7.1,L7,C8
106,Inertsil ODS-2,GL Sciences,27,B,1,0.04,-0.07,-0.01,-0.13,0.44,8.2,L1,C18
107,Inertsil ODS-3,GL Sciences,27,B,0.99,0.02,-0.14,-0.02,-0.47,-0.33,10.9,L1,C18
108,Inertsil ODS-P,GL Sciences,27,B,0.97,-0.02,0.61,-0.03,0.23,1.47,11.2,L1,C18
109,Inertsil WP300 C18,GL Sciences,27,B,0.93,-0.01,-0.11,0,0.2,0.16,3.8,L1,C18
110,Inertsil WP300 C8,GL Sciences,27,B,0.79,-0.01,-0.21,0.01,0.12,0.06,2.2,L7,C8
111,Inertsil CN-3,GL Sciences,27,CN,0.36,0.04,-0.8,0.08,-2.6,-1.29,1.1,L10,CN
112,Inertsil ODS-EP,GL Sciences,27,EP,0.8,0.06,-1.52,0.05,-0.62,-0.07,7.2,L60,C18
113,Vydac 201TP,Grace/Vydac,16,A,0.9,-0.02,0.4,0,0.39,1.02,2.1,L1,C18
114,Vydac 218TP,Grace/Vydac,16,B,0.9,0,0.34,0,0.27,0.67,2,L1,C18
115,Vydac Everest,Grace/Vydac,16,B,0.99,0.04,0.12,0,0.06,0.34,2.2,L1,C18
116,Denali 120A C18,Grace/Vydac,16,B,1.05,0.04,0.12,-0.01,0.14,0.22,9.4,L1,C18
117,Vydac 218MS,Grace/Vydac,16,A,0.77,0.18,0.11,-0.37,0.65,1.23,1.7,L1,C18
119,GROM-SIL 120 ODS-5 ST,Grace/Grom,43,B,1.03,0,0.13,0,0.13,0.12,10.5,L1,C18
120,GROM-SIL 120 Octyl-6 MB,Grace/Grom,43,B,0.87,0,0,0.02,-0.01,0.13,5.8,L7,C8
121,GROM Saphire 110 C18,Grace/Grom,43,B,1.05,0,0.08,0,-0.03,0.11,12.1,L1,C18
122,GROM-SIL 120 ODS-3 CP,Grace/Grom,43,B,1.02,0.01,0.09,0,0.09,0.12,10.2,L1,C18
123,GROM Saphire 110 C8,Grace/Grom,43,B,0.83,-0.03,-0.1,0.03,-0.09,0.25,7.1,L7,C8
124,HxSil C18,Hamilton,45,B,0.84,-0.07,0.3,0.01,0.23,1.05,7,L1,C18
125,HxSil C8,Hamilton,45,B,0.68,-0.07,0.08,0.03,0.06,0.85,4.4,L7,C8
126,Hichrom RPB,Hichrom,46,B,0.96,0.02,0.1,0,0.15,0.14,6.4,L1,C18
127,Hichrom 300 5 RPB,Hichrom,46,B,0.94,0.02,0.04,0.01,0.22,0.21,2.6,L1,C18
128,Targa C18,Higgins Analytical,25,B,0.97,-0.01,-0.07,0,0.01,0.17,8.6,L1,C18
129,Unison UK-C18,Imtakt,47,B,0.98,-0.01,0.01,-0.01,0.11,0.07,8.9,L1,C18
130,Apex C18,Grace/Jones,44,A,0.98,-0.03,0.01,0.04,1.24,2.31,6.1,L1,C18
